"vtkValidPointMask",t,"Point Coordinates:0",y,"Point Coordinates:2"
1,0.78331013592153853065,0,-3.0174422264099121094,0
1,0.7859128546790222769,0,-3.0374865531921386719,0
1,0.78850695397584924518,0,-3.0575306415557861328,0
1,0.79109251897741372783,0,-3.0775742530822753906,0
1,0.79366963345490304516,0,-3.0976178646087646484,0
1,0.79623837981705791744,0,-3.1176609992980957031,0
1,0.79879883914100868747,0,-3.1377038955688476562,0
1,0.80135109120221914569,0,-3.1577463150024414062,0
1,0.80389521450356948851,0,-3.1777887344360351562,0
1,0.80643128630361016196,0,-3.1978309154510498047,0
1,0.80895938264401257012,0,-3.21787261962890625,0
1,0.81147957837624662414,0,-3.2379140853881835938,0
1,0.81399194718751066713,0,-3.2579555511474609375,0
1,0.81649656162593886588,0,-3.2779965400695800781,0
1,0.81899349312511160459,0,-3.2980372905731201172,0
1,0.82148281202789152911,0,-3.3180778026580810547,0
1,0.82396458760960744616,0,-3.3381180763244628906,0
1,0.82643888810060872618,0,-3.358158111572265625,0
1,0.82890578070821063772,0,-3.3781979084014892578,0
1,0.83136533163804993141,0,-3.3982374668121337891,0
1,0.83381760611487132362,0,-3.4182767868041992188,0
1,0.83626266840276131109,0,-3.4383158683776855469,0
1,0.83870058182484907849,0,-3.4583547115325927734,0
1,0.84113140878249137433,0,-3.4783933162689208984,0
1,0.84355521077395556606,0,-3.4984319210052490234,0
1,0.84597204841262019226,0,-3.5184700489044189453,0
1,0.84838198144470500228,0,-3.5385079383850097656,0
1,0.85078506876654824698,0,-3.5585458278656005859,0
1,0.85318136844144254471,0,-3.5785832405090332031,0
1,0.85557093771604397769,0,-3.5986206531524658203,0
1,0.85795383303636951755,0,-3.6186578273773193359,0
1,0.86033011006339188409,0,-3.63869476318359375,0
1,0.86269982368824671415,0,-3.6587314605712890625,0
1,0.86506302804706292076,0,-3.6787679195404052734,0
1,0.86741977653542756688,0,-3.6988043785095214844,0
1,0.86977012182249613392,0,-3.7188403606414794922,0
1,0.87211411586475884317,0,-3.7388763427734375,0
1,0.87445180991947391025,0,-3.7589120864868164062,0
1,0.87678325455777572639,0,-3.7789475917816162109,0
1,0.8791084996774699567,0,-3.7989830970764160156,0
1,0.88142759451552243899,0,-3.8190181255340576172,0
1,0.88374058766025231915,0,-3.8390531539916992188,0
1,0.8860475270632367506,0,-3.8590879440307617188,0
1,0.88834846005093714982,0,-3.8791224956512451172,0
1,0.89064343333605233699,0,-3.8991570472717285156,0
1,0.8929324930286092199,0,-3.9191913604736328125,0
1,0.89521568464679657229,0,-3.9392254352569580078,0
1,0.89749305312754923403,0,-3.9592592716217041016,0
1,0.89976464283689072676,0,-3.9792931079864501953,0
1,0.9020304975800400582,0,-3.9993267059326171875,0
1,0.90429066061128959841,0,-4.0193600654602050781,0
1,0.90654517464366046742,0,-4.0393934249877929688,0
1,0.90879408185834120726,0,-4.0594263076782226562,0
1,0.91103742391391573374,0,-4.0794591903686523438,0
1,0.91327524195538700713,0,-4.0994920730590820312,0
1,0.91550757662300041861,0,-4.1195244789123535156,0
1,0.91773446806087399796,0,-4.139556884765625,0
1,0.91995595592543877306,0,-4.1595892906188964844,0
1,0.92217207939369683078,0,-4.1796212196350097656,0
1,0.92438287717129863363,0,-4.19965362548828125,0
1,0.92658838750044802968,0,-4.2196850776672363281,0
1,0.92878864816763562207,0,-4.2397170066833496094,0
1,0.93098369651120893575,0,-4.2597484588623046875,0
1,0.93317356942878004755,0,-4.2797799110412597656,0
1,0.93535830338447711885,0,-4.2998108863830566406,0
1,0.9375379344160436057,0,-4.3198418617248535156,0
1,0.93971249814178758886,0,-4.3398728370666503906,0
1,0.94188202976738744088,0,-4.3599038124084472656,0
1,0.94404656409255516269,0,-4.3799343109130859375,0
1,0.94620613551756183046,0,-4.3999648094177246094,0
1,0.94836077804963003768,0,-4.4199953079223632812,0
1,0.95051052530919399874,0,-4.44002532958984375,0
1,0.95265541053603242094,0,-4.4600553512573242188,0
1,0.9547954665952772535,0,-4.4800853729248046875,0
1,0.95693072598330097822,0,-4.5001153945922851562,0
1,0.95906122083348488427,0,-4.5201449394226074219,0
1,0.96118698292187210175,0,-4.5401744842529296875,0
1,0.96330804367270805866,0,-4.5602040290832519531,0
1,0.96542443416387146993,0,-4.5802330970764160156,0
1,0.96753618513219630248,0,-4.6002626419067382812,0
1,0.96964332697869115574,0,-4.6202917098999023438,0
1,0.9717458897736547252,0,-4.6403203010559082031,0
1,0.97384390326169223417,0,-4.6603493690490722656,0
1,0.97593739686663416588,0,-4.680377960205078125,0
1,0.97802639969636040451,0,-4.7004065513610839844,0
1,0.98011094054753067351,0,-4.7204346656799316406,0
1,0.9821910479102248237,0,-4.7404632568359375,0
1,0.9842667499724945257,0,-4.7604913711547851562,0
1,0.98633807462482792072,0,-4.7805194854736328125,0
1,0.98840504946453033863,0,-4.8005471229553222656,0
1,0.99046770180002241535,0,-4.8205752372741699219,0
1,0.99252605865505671989,0,-4.840602874755859375,0
1,0.99458014677285666583,0,-4.8606305122375488281,0
1,0.99662999262017748503,0,-4.8806576728820800781,0
1,0.99867562239129259449,0,-4.9006853103637695312,0
1,1.0007170620119056892,0,-4.9207124710083007812,0
1,1.0027543371429916697,0,-4.9407396316528320312,0
1,1.0047874731845656271,0,-4.9607667922973632812,0
1,1.0068164952793861033,0,-4.9807934761047363281,0
1,1.0088414283165869634,0,-5.0008206367492675781,0
1,1.0108622969352478727,0,-5.020847320556640625,0
1,1.0128791255278972727,0,-5.0408735275268554688,0
1,1.0148919382439531844,0,-5.0609002113342285156,0
1,1.0169007589931036151,0,-5.0809264183044433594,0
1,1.0189056114486261251,0,-5.1009531021118164062,0
1,1.0209065190506478871,0,-5.12097930908203125,0
1,1.0229035050093484571,0,-5.1410050392150878906,0
1,1.0248965923081074791,0,-5.1610312461853027344,0
1,1.0268858037065946576,0,-5.181056976318359375,0
1,1.0288711617438091039,0,-5.2010827064514160156,0
1,1.03085268874106184,0,-5.2211084365844726562,0
1,1.0328304068049103392,0,-5.2411341667175292969,0
1,1.0348043378300406658,0,-5.2611594200134277344,0
1,1.0367745035020994315,0,-5.281185150146484375,0
1,1.038740925300478235,0,-5.3012104034423828125,0
1,1.0407036245010514719,0,-5.32123565673828125,0
1,1.0426626221788652948,0,-5.3412604331970214844,0
1,1.0446179392107826089,0,-5.3612856864929199219,0
1,1.0465695962780836581,0,-5.3813104629516601562,0
1,1.0485176138690213143,0,-5.4013352394104003906,0
1,1.0504620122813350669,0,-5.421360015869140625,0
1,1.0524028116247237108,0,-5.4413847923278808594,0
1,1.0543400318232736268,0,-5.4614090919494628906,0
1,1.0562736926178510899,0,-5.481433868408203125,0
1,1.0582038135684519453,0,-5.5014581680297851562,0
1,1.0601304140565139811,0,-5.5214824676513671875,0
1,1.0620535132871915529,0,-5.5415062904357910156,0
1,1.0639731302915929056,0,-5.5615305900573730469,0
1,1.0658892839289797472,0,-5.581554412841796875,0
1,1.0678019928889339596,0,-5.6015787124633789062,0
1,1.069711275693487007,0,-5.6216025352478027344,0
1,1.0716171506992155926,0,-5.6416258811950683594,0
1,1.0735196360993044529,0,-5.6616497039794921875,0
1,1.0754187499255758453,0,-5.6816735267639160156,0
1,1.0773145100504866178,0,-5.7016968727111816406,0
1,1.0792069341890928591,0,-5.7217202186584472656,0
1,1.0810960399009847954,0,-5.7417435646057128906,0
1,1.0829818445921914893,0,-5.7617669105529785156,0
1,1.0848643655170531197,0,-5.7817902565002441406,0
1,1.0867436197800675046,0,-5.8018131256103515625,0
1,1.0886196243377042059,0,-5.8218359947204589844,0
1,1.0904923960001942085,0,-5.8418593406677246094,0
1,1.0923619514332885139,0,-5.8618817329406738281,0
1,1.0942283071599914201,0,-5.88190460205078125,0
1,1.096091479562267601,0,-5.9019274711608886719,0
1,1.0979514848827216511,0,-5.9219498634338378906,0
1,1.0998083392262518743,0,-5.9419727325439453125,0
1,1.1016620585616809791,0,-5.9619951248168945312,0
1,1.1035126587233601292,0,-5.98201751708984375,0
1,1.1053601554127490125,0,-6.0020399093627929688,0
1,1.1072045641999728183,0,-6.0220623016357421875,0
1,1.1090459005253547886,0,-6.0420842170715332031,0
1,1.1108841797009274543,0,-6.0621061325073242188,0
1,1.1127194169119198897,0,-6.0821285247802734375,0
1,1.1145516272182236506,0,-6.1021504402160644531,0
1,1.1163808255558356208,0,-6.1221723556518554688,0
1,1.1182070267382817619,0,-6.1421937942504882812,0
1,1.1200302454580182143,0,-6.1622157096862792969,0
1,1.1218504962878128595,0,-6.1822376251220703125,0
1,1.1236677936821060086,0,-6.202259063720703125,0
1,1.1254821519783506645,0,-6.2222805023193359375,0
1,1.1272935853983354626,0,-6.24230194091796875,0
1,1.1291021080494862971,0,-6.2623233795166015625,0
1,1.1309077339261501827,0,-6.282344818115234375,0
1,1.1327104769108604643,0,-6.3023657798767089844,0
1,1.1345103507755838201,0,-6.3223872184753417969,0
1,1.1363073691829490564,0,-6.3424081802368164062,0
1,1.1381015456874594705,0,-6.3624291419982910156,0
1,1.1398928937366870073,0,-6.382450103759765625,0
1,1.1416814266724499838,0,-6.4024710655212402344,0
1,1.1434671577319734936,0,-6.4224920272827148438,0
1,1.1452501000490347138,0,-6.4425129890441894531,0
1,1.1470302666550913351,0,-6.4625334739685058594,0
1,1.1488076704803935613,0,-6.4825544357299804688,0
1,1.150582324355082342,0,-6.502574920654296875,0
1,1.1523542410102707301,0,-6.5225954055786132812,0
1,1.1541234330791114715,0,-6.5426158905029296875,0
1,1.1558899130978481651,0,-6.5626363754272460938,0
1,1.157653693506854431,0,-6.5826568603515625,0
1,1.1594147866516566481,0,-6.6026768684387207031,0
1,1.1611732047839438131,0,-6.6226973533630371094,0
1,1.1629289600625627443,0,-6.6427173614501953125,0
1,1.1646820645545004069,0,-6.6627373695373535156,0
1,1.1664325302358533598,0,-6.6827573776245117188,0
1,1.1681803689927834355,0,-6.7027773857116699219,0
1,1.1699255926224596536,0,-6.722797393798828125,0
1,1.1716682128339894753,0,-6.7428174018859863281,0
1,1.1734082412493367364,0,-6.7628369331359863281,0
1,1.1751456894042258128,0,-6.7828569412231445312,0
1,1.1768805687490360157,0,-6.8028764724731445312,0
1,1.1786128906496831092,0,-6.8228960037231445312,0
1,1.1803426663884892811,0,-6.8429155349731445312,0
1,1.1820699071650411227,0,-6.8629350662231445312,0
1,1.1837946240970369516,0,-6.8829545974731445312,0
1,1.1855168282211225872,0,-6.9029741287231445312,0
1,1.1872365304937164687,0,-6.9229931831359863281,0
1,1.1889537417918241147,0,-6.9430127143859863281,0
1,1.1906684729138419243,0,-6.963031768798828125,0
1,1.1923807345803498769,0,-6.9830508232116699219,0
1,1.1940905374348949053,0,-7.0030703544616699219,0
1,1.1957978920447636106,0,-7.0230894088745117188,0
1,1.1975028089017452082,0,-7.0431079864501953125,0
1,1.1992052984228847023,0,-7.0631270408630371094,0
1,1.2009053709512258479,0,-7.0831460952758789062,0
1,1.2026030367565465617,0,-7.1031651496887207031,0
1,1.2042983060360827885,0,-7.1231837272644042969,0
1,1.2059911889152430398,0,-7.1432023048400878906,0
1,1.2076816954483162725,0,-7.1632213592529296875,0
1,1.209369835619169109,0,-7.1832399368286132812,0
1,1.2110556193419341753,0,-7.203258514404296875,0
1,1.2127390564616908897,0,-7.2232770919799804688,0
1,1.2144201567551360377,0,-7.2432951927185058594,0
1,1.2160989299312481293,0,-7.2633137702941894531,0
1,1.2177753856319410986,0,-7.2833323478698730469,0
1,1.2194495334327131175,0,-7.3033504486083984375,0
1,1.2211213828432838646,0,-7.3233690261840820312,0
1,1.2227909433082255752,0,-7.3433871269226074219,0
1,1.2244582242075869871,0,-7.3634052276611328125,0
1,1.226123234857508848,0,-7.3834233283996582031,0
1,1.2277859845108314296,0,-7.4034414291381835938,0
1,1.2294464823576953805,0,-7.4234595298767089844,0
1,1.231104737526135473,0,-7.443477630615234375,0
1,1.2327607590826659134,0,-7.4634952545166015625,0
1,1.2344145560328603217,0,-7.4835133552551269531,0
1,1.2360661373219228309,0,-7.5035309791564941406,0
1,1.2377155118352538565,0,-7.5235490798950195312,0
1,1.2393626883990078724,0,-7.5435667037963867188,0
1,1.2410076757806463021,0,-7.5635843276977539062,0
1,1.2426504826894815281,0,-7.5836019515991210938,0
1,1.2442911177772155717,0,-7.6036195755004882812,0
1,1.2459295896384725566,0,-7.6236371994018554688,0
1,1.2475659068113249539,0,-7.6436548233032226562,0
1,1.2492000777778118348,0,-7.6636719703674316406,0
1,1.2508321109644544578,0,-7.6836895942687988281,0
1,1.2524620147427625305,0,-7.7037067413330078125,0
1,1.2540897974297360307,0,-7.723724365234375,0
1,1.2557154672883608093,0,-7.7437415122985839844,0
1,1.2573390325280984214,0,-7.7637586593627929688,0
1,1.2589605013053706273,0,-7.7837758064270019531,0
1,1.2605798817240385645,0,-7.8037929534912109375,0
1,1.2621971818358743711,0,-7.8238101005554199219,0
1,1.2638124096410296993,0,-7.8438272476196289062,0
1,1.2654255730884984565,0,-7.8638443946838378906,0
1,1.2670366800765719972,0,-7.8838610649108886719,0
1,1.2686457384532929815,0,-7.9038782119750976562,0
1,1.2702527560169003529,0,-7.9238948822021484375,0
1,1.2718577405162712068,0,-7.9439120292663574219,0
1,1.2734606996513568866,0,-7.9639286994934082031,0
1,1.275061641073615526,0,-7.9839453697204589844,0
1,1.2766605723864370425,0,-8.0039625167846679688,0
1,1.2782575011455663549,0,-8.02397918701171875,0
1,1.2798524348595190503,0,-8.0439958572387695312,0
1,1.2814453809899952752,0,-8.0640125274658203125,0
1,1.2830363469522860775,0,-8.0840282440185546875,0
1,1.2846253401156775276,0,-8.1040449142456054688,0
1,1.286212367803849066,0,-8.12406158447265625,0
1,1.2877974372952669668,0,-8.1440782546997070312,0
1,1.2893805558235751363,0,-8.1640949249267578125,0
1,1.2909617305779810259,0,-8.1841106414794921875,0
1,1.2925409687036357731,0,-8.2041273117065429688,0
1,1.2941182773020121211,0,-8.2241430282592773438,0
1,1.2956936634312774537,0,-8.244159698486328125,0
1,1.2972671341066615014,0,-8.2641754150390625,0
1,1.2988386963008227148,0,-8.2841920852661132812,0
1,1.3004083569442088653,0,-8.3042078018188476562,0
1,1.3019761229254127599,0,-8.3242244720458984375,0
1,1.3035420010915261813,0,-8.3442401885986328125,0
1,1.3051059982484898292,0,-8.3642559051513671875,0
1,1.3066681211614379343,0,-8.3842725753784179688,0
1,1.3082283765550402066,0,-8.4042882919311523438,0
1,1.3097867711138393432,0,-8.4243040084838867188,0
1,1.3113433114825867598,0,-8.4443197250366210938,0
1,1.3128980042665725492,0,-8.4643354415893554688,0
1,1.3144508560319532187,0,-8.4843511581420898438,0
1,1.3160018733060754315,0,-8.5043668746948242188,0
1,1.3175510625777961948,0,-8.5243825912475585938,0
1,1.3190984302978003839,0,-8.5443983078002929688,0
1,1.3206439828789142688,0,-8.5644140243530273438,0
1,1.3221877266964159325,0,-8.5844297409057617188,0
1,1.3237296680883421374,0,-8.6044454574584960938,0
1,1.3252698133557925253,0,-8.6244611740112304688,0
1,1.3268081687632302668,0,-8.6444759368896484375,0
1,1.3283447405387796003,0,-8.6644916534423828125,0
1,1.3298795348745202638,0,-8.6845073699951171875,0
1,1.331412557926779261,0,-8.7045221328735351562,0
1,1.3329438158164186312,0,-8.7245378494262695312,0
1,1.3344733146291209991,0,-8.7445535659790039062,0
1,1.336001060415672459,0,-8.764568328857421875,0
1,1.3375270591922423513,0,-8.78458404541015625,0
1,1.339051316940658598,0,-8.8045988082885742188,0
1,1.3405738396086830377,0,-8.8246135711669921875,0
1,1.342094633110281876,0,-8.8446292877197265625,0
1,1.3436137033258934714,0,-8.8646440505981445312,0
1,1.3451310561026947887,0,-8.8846588134765625,0
1,1.3466466972548638559,0,-8.904674530029296875,0
1,1.3481606325638400001,0,-8.9246892929077148438,0
1,1.3496728677785805317,0,-8.9447040557861328125,0
1,1.3511834086158174273,0,-8.9647188186645507812,0
1,1.3526922607603082405,0,-8.98473358154296875,0
1,1.3541994298650861239,0,-9.004749298095703125,0
1,1.3557049215517080754,0,-9.0247640609741210938,0
1,1.3572087414104991865,0,-9.0447788238525390625,0
1,1.3587108950007946717,0,-9.0647935867309570312,0
1,1.3602113878511805645,0,-9.084808349609375,0
